sample_index,bare_rtt_ms,full_rtt_ms,lookup_overhead_ms
405,0.0085,0.006708,-0.001792
406,0.008208,0.007,-0.001208
407,0.008125,0.006792,-0.001333
408,0.00825,0.006875,-0.001375
409,0.008333,0.007,-0.001333
410,0.00825,0.006792,-0.001458
411,0.008292,0.00675,-0.001542
412,0.008292,0.006834,-0.001458
413,0.008292,0.006875,-0.001417
414,0.008292,0.006875,-0.001417
415,0.008292,0.00675,-0.001542
416,0.00825,0.006708,-0.001542
417,0.00825,0.006833,-0.001417
418,0.008333,0.006792,-0.001541
419,0.008375,0.006916,-0.001459
420,0.008209,0.007,-0.001209
421,0.008667,0.006875,-0.001792
422,0.00825,0.006875,-0.001375
423,0.00825,0.006709,-0.001541
424,0.00825,0.006708,-0.001542
425,0.00825,0.006791,-0.001459
426,0.008209,0.006791,-0.001418
427,0.00825,0.00675,-0.0015
428,0.008333,0.006834,-0.001499
429,0.008166,0.006875,-0.001291
430,0.008333,0.006833,-0.0015
431,0.00825,0.006792,-0.001458
432,0.008166,0.006791,-0.001375
433,0.00825,0.006792,-0.001458
434,0.00825,0.00675,-0.0015
435,0.008167,0.00675,-0.001417
436,0.008209,0.006916,-0.001293
437,0.008458,0.006791,-0.001667
438,0.00825,0.006666,-0.001584
439,0.008167,0.00675,-0.001417
440,0.008167,0.006834,-0.001333
441,0.008167,0.00675,-0.001417
442,0.00825,0.006833,-0.001417
443,0.008292,0.006792,-0.0015
444,0.008208,0.006834,-0.001374
445,0.00825,0.006792,-0.001458
446,0.008208,0.006875,-0.001333
447,0.00825,0.006916,-0.001334
448,0.00825,0.006833,-0.001417
449,0.008209,0.006834,-0.001375
450,0.008208,0.006792,-0.001416
451,0.008208,0.006875,-0.001333
452,0.008125,0.006959,-0.001166
453,0.008417,0.006708,-0.001709
454,0.00825,0.006833,-0.001417
455,0.008291,0.006875,-0.001416
456,0.008291,0.006875,-0.001416
457,0.008375,0.006833,-0.001542
458,0.008375,0.006834,-0.001541
459,0.00825,0.006792,-0.001458
460,0.008292,0.00675,-0.001542
461,0.008292,0.00675,-0.001542
462,0.008333,0.006792,-0.001541
463,0.00825,0.006792,-0.001458
464,0.008167,0.006792,-0.001375
465,0.008167,0.012292,0.004125
466,0.008292,0.007,-0.001292
467,0.008333,0.006875,-0.001458
468,0.00825,0.007042,-0.001208
469,0.008584,0.006792,-0.001792
470,0.008208,0.006792,-0.001416
471,0.008166,0.006917,-0.001249
472,0.00825,0.009292,0.001042
473,0.00825,0.009042,0.000792
474,0.008166,0.009666,0.0015
475,0.008166,0.009416,0.00125
476,0.008375,0.008042,-0.000333
477,0.008333,0.007209,-0.001124
478,0.00825,0.007333,-0.000917
479,0.008292,0.007291,-0.001001
480,0.008292,0.007291,-0.001001
481,0.008208,0.007166,-0.001042
482,0.00825,0.007291,-0.000959
483,0.008208,0.007291,-0.000917
484,0.008125,0.007541,-0.000584
485,0.008458,0.007416,-0.001042
486,0.008208,0.007333,-0.000875
487,0.008292,0.007417,-0.000875
488,0.00825,0.007334,-0.000916
489,0.00825,0.007458,-0.000792
490,0.00825,0.007208,-0.001042
491,0.008167,0.007292,-0.000875
492,0.014667,0.007417,-0.00725
493,0.008334,0.007292,-0.001042
494,0.00825,0.008375,0.000125
495,0.008334,0.007375,-0.000959
496,0.008208,0.00725,-0.000958
497,0.008292,0.007125,-0.001167
498,0.008334,0.007375,-0.000959
499,0.00825,0.00775,-0.0005
500,0.008334,0.00725,-0.001084
501,0.008542,0.007,-0.001542
502,0.008417,0.006959,-0.001458
503,0.008292,0.007083,-0.001209
504,0.00825,0.006959,-0.001291
505,0.00825,0.007042,-0.001208
506,0.008458,0.007,-0.001458
507,0.008167,0.006958,-0.001209
508,0.008208,0.007042,-0.001166
509,0.00825,0.006959,-0.001291
510,0.00825,0.006917,-0.001333
511,0.008292,0.006917,-0.001375
512,0.008292,0.007,-0.001292
513,0.008334,0.007041,-0.001293
514,0.008292,0.007083,-0.001209
515,0.008333,0.007,-0.001333
516,0.008334,0.007333,-0.001001
517,0.008583,0.006959,-0.001624
518,0.008291,0.006958,-0.001333
519,0.008083,0.007,-0.001083
520,0.008209,0.006917,-0.001292
521,0.00825,0.007083,-0.001167
522,0.00825,0.007208,-0.001042
523,0.008125,0.007042,-0.001083
524,0.00825,0.007459,-0.000791
525,0.008292,0.009625,0.001333
526,0.00825,0.009375,0.001125
527,0.008375,0.007458,-0.000917
528,0.008208,0.00725,-0.000958
529,0.008209,0.00725,-0.000959
530,0.008291,0.007375,-0.000916
531,0.008208,0.007417,-0.000791
532,0.00825,0.007167,-0.001083
533,0.008416,0.007167,-0.001249
534,0.00825,0.006917,-0.001333
535,0.00825,0.006833,-0.001417
536,0.00825,0.00675,-0.0015
537,0.008292,0.006917,-0.001375
538,0.008375,0.006958,-0.001417
539,0.008666,0.006708,-0.001958
540,0.008208,0.006834,-0.001374
541,0.008167,0.006792,-0.001375
542,0.00875,0.006833,-0.001917
