iteration,decision,reason,thread_ms
663,DENY,hash_mismatch,0.008
664,DENY,hash_mismatch,0.008
665,DENY,hash_mismatch,0.008
666,DENY,hash_mismatch,0.008
667,DENY,hash_mismatch,0.008
668,DENY,hash_mismatch,0.008
669,DENY,hash_mismatch,0.008
670,DENY,hash_mismatch,0.057
671,DENY,hash_mismatch,0.009
672,DENY,hash_mismatch,0.012
673,DENY,hash_mismatch,0.040
674,DENY,hash_mismatch,0.011
675,DENY,hash_mismatch,0.769
676,DENY,hash_mismatch,0.010
677,DENY,hash_mismatch,0.012
678,DENY,hash_mismatch,0.009
679,DENY,hash_mismatch,0.011
680,DENY,hash_mismatch,0.009
681,DENY,hash_mismatch,0.011
682,DENY,hash_mismatch,0.009
683,DENY,hash_mismatch,0.013
684,DENY,hash_mismatch,0.009
685,DENY,hash_mismatch,0.044
686,DENY,hash_mismatch,0.009
687,DENY,hash_mismatch,0.183
688,DENY,hash_mismatch,0.010
689,DENY,hash_mismatch,0.059
690,DENY,hash_mismatch,0.009
691,DENY,hash_mismatch,0.218
692,DENY,hash_mismatch,0.009
693,DENY,hash_mismatch,0.085
694,DENY,hash_mismatch,0.012
695,DENY,hash_mismatch,0.009
696,DENY,hash_mismatch,0.009
697,DENY,hash_mismatch,0.009
698,DENY,hash_mismatch,0.420
699,DENY,hash_mismatch,0.106
700,DENY,hash_mismatch,0.013
701,DENY,hash_mismatch,0.013
702,DENY,hash_mismatch,0.009
703,DENY,hash_mismatch,0.081
704,DENY,hash_mismatch,0.121
705,DENY,hash_mismatch,0.078
706,DENY,hash_mismatch,2.385
707,DENY,hash_mismatch,0.015
708,DENY,hash_mismatch,0.015
709,DENY,hash_mismatch,0.010
710,DENY,hash_mismatch,0.009
711,DENY,hash_mismatch,0.009
712,DENY,hash_mismatch,0.010
713,DENY,hash_mismatch,0.009
714,DENY,hash_mismatch,0.009
715,DENY,hash_mismatch,0.008
716,DENY,hash_mismatch,1.004
717,DENY,hash_mismatch,0.051
718,DENY,hash_mismatch,0.028
719,DENY,hash_mismatch,0.025
720,DENY,hash_mismatch,0.359
721,DENY,hash_mismatch,0.282
722,DENY,hash_mismatch,0.067
723,DENY,hash_mismatch,0.050
724,DENY,hash_mismatch,0.029
725,DENY,hash_mismatch,0.030
726,DENY,hash_mismatch,0.037
727,DENY,hash_mismatch,0.024
728,DENY,hash_mismatch,0.023
729,DENY,hash_mismatch,0.031
730,DENY,hash_mismatch,0.028
731,DENY,hash_mismatch,1.465
732,DENY,hash_mismatch,0.040
733,DENY,hash_mismatch,0.028
734,DENY,hash_mismatch,0.025
735,DENY,hash_mismatch,0.024
736,DENY,hash_mismatch,0.023
737,DENY,hash_mismatch,0.023
738,DENY,hash_mismatch,0.023
739,DENY,hash_mismatch,0.039
740,DENY,hash_mismatch,0.503
741,DENY,hash_mismatch,0.039
742,DENY,hash_mismatch,0.041
743,DENY,hash_mismatch,0.259
